robotID,stepNumber,movement,status
R002,1,Forward,Success
R002,2,Left,Failed
R002,1,Forward,Return
R002,1,Forward,Success
R002,2,Left,Success
R002,3,Forward,Success
R002,4,Right,Success
R002,5,Forward,Success
R002,5,Forward,Return
R002,4,Right,Return
R002,3,Forward,Return
R002,2,Left,Return
R002,1,Forward,Return
R006,1,Forward,Success
R006,2,Left,Success
R006,2,Left,Return
R006,1,Forward,Return
R001,1,Forward,Success
R001,2,Right,Success
R001,3,Forward,Success
R001,4,Left,Success
R001,4,Left,Return
R001,3,Forward,Return
R001,2,Right,Return
R001,1,Forward,Return
